날짜,시작가,최고가,최저가,종가,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,79,83,79,83,69.958252,9000
2000-01-04,91,91,87.5,88,74.172615,26400
2000-01-05,80.300003,80.300003,78.699997,78.699997,66.333916,11200
2000-01-06,78.5,78.5,77.699997,78.199997,65.912483,2500
2000-01-07,78,79.300003,78,79,66.586769,6200
2000-01-10,80.699997,82,80.699997,82,69.115387,6600
2000-01-11,82,82,82,82,69.115387,0
2000-01-12,79.800003,79.800003,78.699997,78.699997,66.333916,4000
2000-01-13,78,78.5,78,78.5,66.165329,3600
2000-01-14,78.75,79.900002,78.300003,79.900002,67.345352,5000
2000-01-17,82.199997,84.5,82.199997,84.5,71.222565,22200
2000-01-18,85,86.5,85,85,71.643997,14600
2000-01-19,82,84.800003,82,84.800003,71.475418,7400
2000-01-20,84.800003,85,83.5,83.5,70.3797,5700
2000-01-21,83,83,81,82,69.115387,4100
2000-01-24,80.199997,86.800003,80.199997,86,72.486877,11700
2000-01-25,82,88,82,88,74.172615,19800
2000-01-26,89,90.400002,89,89.5,75.436905,17400
2000-01-27,88.5,89.5,86,86,72.486877,12000
2000-01-28,88,88.900002,87,87,73.32975,11300
2000-01-31,86,86,82,82.5,69.536804,4000
2000-02-01,82.800003,82.800003,79.5,80.5,67.851089,12100
2000-02-02,81,82.5,81,81.400002,68.609665,4300
2000-02-03,81.400002,81.400002,77.5,79,66.586769,8000
2000-02-04,79.800003,79.800003,76,78,65.743904,15800
2000-02-07,79.800003,79.800003,78.199997,79.5,67.008217,12000
2000-02-08,80.5,80.699997,80.199997,80.599998,67.935356,8400
2000-02-09,82.400002,84.900002,82.400002,84.900002,71.559715,10100
2000-02-10,83,86,83,86,72.486877,12500
2000-02-11,85.199997,87,85.199997,86.099998,72.571159,11800
2000-02-14,80,82,80,82,69.115387,9600
2000-02-15,80,80,78,78,65.743904,11600
2000-02-16,77,77,75.099998,75.800003,63.889603,7000
2000-02-17,77,79.5,77,79.5,67.008217,11000
2000-02-18,85,85,82.5,85,71.643997,41100
2000-02-21,79.5,81.5,79.199997,80.5,67.851089,5700
2000-02-22,78.300003,79,77,77,64.901024,11800
2000-02-23,79.5,79.5,75.800003,76,64.058167,8600
2000-02-24,75.800003,75.800003,74,75.400002,63.552429,12400
2000-02-25,75,75,72.699997,72.800003,61.360981,6500
2000-02-28,69,69,64,67.25,56.683048,20000
2000-02-29,68,69.800003,67.699997,69.800003,58.832363,12000
2000-03-01,72.5,77,72.5,77,64.901024,10500
2000-03-02,84.699997,90.199997,84.699997,87.5,73.751183,44100
2000-03-03,91.5,91.5,88,89.199997,75.184052,24500
2000-03-06,86,86,82,82.400002,69.452538,7600
2000-03-07,80.400002,80.400002,78,80,67.429642,4400
2000-03-08,81.5,84.5,81.5,82,69.115387,7800
2000-03-09,80,82,79.5,80,67.429642,5400
2000-03-10,79,82,79,81,68.272522,8500
2000-03-13,81,81,81,81,68.272522,0
2000-03-14,75,78.699997,75,78.699997,66.333916,4700
2000-03-15,80,80,76,78,65.743904,6800
2000-03-16,79,81.5,79,81,68.272522,8300
2000-03-17,81.800003,82.099998,81,82.099998,69.199677,8600
2000-03-20,82,84.5,82,83.699997,70.548271,7300
2000-03-21,88.5,90,88.5,89.199997,75.184052,36300
2000-03-22,93,97.5,93,96,80.915573,45000
2000-03-23,95.5,95.800003,93,93,78.386963,8100
2000-03-24,100,102.5,100,101.199997,85.298508,30200
2000-03-27,100.5,101.199997,100,100.5,84.708504,12400
2000-03-28,103,104.199997,103,103,86.815651,10700
2000-03-29,108,109.5,106.5,106.5,89.765724,8000
2000-03-30,97.199997,97.5,96,96.5,81.337013,6300
2000-03-31,93.099998,98.5,93.099998,98.099998,82.685616,9300
2000-04-03,99,101,99,99.599998,83.949913,8400
2000-04-04,96.900002,96.900002,95,95,80.072716,3100
2000-04-05,91,91,83,86,72.486877,9000
2000-04-06,91.800003,97,91.800003,97,81.758453,3900
2000-04-07,99.5,99.900002,91,91,76.701218,7400
2000-04-10,95,97.400002,95,95,80.072716,6400
2000-04-11,92,92,88.5,89.5,75.436905,2900
2000-04-12,89,91.900002,89,89,75.015472,2300
2000-04-13,86.5,88,86,88,74.172615,5100
2000-04-14,82,85,81,82,69.115387,5600
2000-04-17,70.199997,76,67,76,64.058167,48500
2000-04-18,80.199997,80.900002,77.5,80.5,67.851089,16300
2000-04-19,80.5,81.599998,80.199997,81.599998,68.778236,18100
2000-04-20,82.5,86.5,82.5,86,72.486877,4600
2000-04-21,86,86,86,86,72.486877,0
2000-04-24,86,86,86,86,72.486877,0
